Wall time,Step,Value
1733409089.362612,1000000,197.9499969482422
1733409419.238355,2000000,187.25
1733409742.8580372,3000000,289.70001220703125
1733410059.0103,4000000,297.75
1733410372.9516895,5000000,295.29998779296875
1733410700.783195,6000000,334.8999938964844
1733411024.4335968,7000000,363.54998779296875
1733411344.251679,8000000,335.0
1733411668.9554975,9000000,434.6499938964844
1733411998.040334,10000000,341.04998779296875
1733412322.9998534,11000000,362.3999938964844
1733412644.3616714,12000000,299.54998779296875
1733412964.050702,13000000,369.3999938964844
1733413289.835518,14000000,434.3999938964844
1733413594.8398335,15000000,411.20001220703125
1733413899.2488744,16000000,428.8500061035156
1733414211.835843,17000000,430.8500061035156
1733414536.3072605,18000000,368.75
1733414880.0684395,19000000,377.3500061035156
1733415227.298984,20000000,379.75
1733415573.0359175,21000000,416.3500061035156
1733415915.517121,22000000,335.8500061035156
1733416260.9172988,23000000,446.3999938964844
1733416590.373546,24000000,385.8500061035156
1733416908.3185172,25000000,285.04998779296875
1733417229.3247285,26000000,401.1000061035156
1733417551.2356977,27000000,342.1499938964844
1733417877.433764,28000000,384.1000061035156
1733418203.2639377,29000000,456.29998779296875
